birthYear, deathYear
1870, 1916 
1857, 1930 
1863, 1945 
1917, 1957 
1864, 1929 
1903, 1956 
1929, 2001 
1905, 1983 
1907, 1983 
1941, 1997 
1923, 2007 
1900, 1981 
1930, 2012 
1879, 1968 
1896, 1989 
1969, 2008 
1894, 1966 
1963, 2003 
1865, 1935 
1908, 2003 
1931, 2000 
1896, 1976 
1952, 2008 
1961, 2014 
1895, 1960 
1907, 1993 
1933, 2011 
1910, 1973 
1860, 1944 
1873, 1960 
1887, 1950 
1896, 1952 
1913, 1990 
1916, 2003 
1920, 1989 
1924, 2014 
1929, 2010 
1929, 2001 
1918, 1993 
1936, 2008 
1812, 1866 
1919, 1993 
1928, 1994 
1944, 2011 
1876, 1964 
1763, 1845 
1823, 1888 
1912, 1990 
1846, 1921 
1910, 1997 
1932, 2011 
1904, 1976 
1903, 1979 
1928, 2015 
1900, 1990 
1895, 1984 
1787, 1873 
1796, 1869 
1924, 2008 
1907, 1969 
1814, 1886 
1883, 1953 
1939, 2011 
1859, 1937 
1902, 1968 
1891, 1985 
1862, 1931 
1959, 1995 
1919, 2000 
1855, 1942 
1865, 1936 
1860, 1919 
1934, 2015 
1927, 2006 
1942, 2013 
1853, 1936 
1865, 1940 
1872, 1946 
1927, 1998 
1923, 2006 
1920, 1920 
1928, 2013 
1826, 1908 
1779, 1836 
1867, 1936 
1904, 1986 
1985, 2012 
1913, 2002 
1802, 1882 
1930, 2016 
1794, 1864 
1918, 1942 
1828, 1918 
1891, 1956 
1880, 1961 
1891, 1964 
1883, 1951 
1884, 1964 
1932, 2000 
1954, 2008 
1827, 1915 
1874, 1947 
1922, 1985 
1822, 1880 
1932, 2008 
1871, 1962 
1918, 1985 
1862, 1936 
1872, 1950 
1842, 1914 
1937, 2007 
1964, 2013 
1932, 2010 
1905, 1978 
1852, 1927 
1807, 1879 
1905, 1977 
1917, 2000 
1885, 1915 
1860, 1913 
1923, 2000 
1936, 1996 
1957, 2006 
1903, 1967 
1928, 2011 
1940, 2003 
1896, 1968 
1909, 1996 
1914, 1944 
1950, 2015 
1929, 1992 
1890, 1916 
1868, 1932 
1863, 1927 
1900, 1990 
1805, 1860 
1808, 1881 
1934, 1971 
1946, 2012 
1874, 1931 
1831, 1872 
1941, 2003 
1822, 1900 
1918, 1990 
1922, 2003 
1952, 2013 
1928, 1980 
1956, 1987 
1948, 2013 
1934, 1998 
['1963', '1962'], 1994 
1887, 1964 
1975, 2013 
1942, 2002 
1955, 1976 
1940, 1998 
1928, 1997 
1945, 1984 
1909, 1981 
1982, 2009 
1973, 2011 
1916, 2004 
1939, 2013 
1910, 1983 
1861, 1946 
1868, 1941 
1903, 1977 
1914, 1963 
1977, 2006 
1950, 1984 
1916, 2008 
1924, 1988 
1985, 2011 
1881, 1963 
1908, 1999 
1915, 1992 
1915, 1979 
1855, 1936 
1894, 1901 
1943, 2004 
1935, 2005 
1915, 2004 
1904, 1984 
1913, 1971 
1932, 2013 
1855, 1924 
1905, 1990 
1783, 1838 
1922, 2005 
1966, 2012 
1928, 1991 
1917, 2005 
1912, 2007 
1955, 2007 
1946, 2014 
1886, 1973 
1917, 2004 
1937, 2010 
1850, 1877 
1952, 1983 
1894, 1980 
1895, 1974 
1947, 1985 
1906, 1977 
1899, 1977 
['1852', '1851'], 1932 
1930, 2006 
1980, 2014 
1948, 2014 
1936, 2009 
1921, 2014 
1941, 2006 
1959, 2014 
1923, 2007 
1937, 2002 
1929, 2012 
1921, 2012 
1920, 2001 
1875, 1975 
1927, 2014 
1950, 2001 
1960, 2014 
1927, 2014 
1848, 1917 
1911, 1983 
1909, 1995 
1919, 2000 
1914, 2001 
1894, 1980 
1923, 2013 
1931, 2008 
1931, 2008 
1903, 1968 
1957, 2010 
1874, 2009 
1908, 1982 
1973, 2013 
1931, 2005 
1911, 1992 
1979, 2006 
1905, 1978 
1890, 1977 
1973, 2001 
1865, 1950 
1949, 2014 
1947, 1972 
1925, 1990 
1837, 1919 
1927, 2008 
1891, 1909 
1928, 2007 
1937, 1965 
1940, 2014 
1809, 1882 
1935, 2003 
1953, 2002 
1918, 2013 
1902, 1942 
1936, 2012 
1947, 2007 
1929, 1980 
1931, 2006 
1916, 1994 
1929, 2010 
1882, 1957 
1933, 1966 
1941, 1977 
1853, 1929 
1920, 2004 
1973, 2013 
1977, 2015 
1867, 1941 
