"Geslacht";"Leeftijd (op 31 december)";"Perioden";"Sterftekans (kans)";"Levenden (tafelbevolking)  (aantal)";"Overledenen (tafelbevolking)  (aantal)";"Levensverwachting (jaar )"
"Vrouwen";"0 jaar";"2002";" 0.00408";"  100000";"     408";"   80.69"
"Vrouwen";"0 jaar";"2003";" 0.00368";"  100000";"     368";"   80.93"
"Vrouwen";"0 jaar";"2004";" 0.00342";"  100000";"     342";"   81.44"
"Vrouwen";"0 jaar";"2005";" 0.00419";"  100000";"     419";"   81.60"
"Vrouwen";"0 jaar";"2001 tot 2006";" 0.00391";"  100000";"     391";"   81.08"
"Vrouwen";"0 jaar";"2006";" 0.00350";"  100000";"     350";"   81.89"
"Vrouwen";"0 jaar";"2007";" 0.00310";"  100000";"     310";"   82.31"
"Vrouwen";"0 jaar";"2008";" 0.00327";"  100000";"     327";"   82.28"
"Vrouwen";"0 jaar";"2009";" 0.00330";"  100000";"     330";"   82.65"
"Vrouwen";"0 jaar";"2010";" 0.00303";"  100000";"     303";"   82.72"
"Vrouwen";"0 jaar";"2006 tot 2011";" 0.00324";"  100000";"     324";"   82.37"
"Vrouwen";"0 jaar";"2011";" 0.00289";"  100000";"     289";"   82.85"
"Vrouwen";"0 jaar";"2012";" 0.00302";"  100000";"     302";"   82.82"
"Vrouwen";"0 jaar";"2013";" 0.00300";"  100000";"     300";"   83.04"
"Vrouwen";"0 jaar";"2014";" 0.00286";"  100000";"     286";"   83.29"
"Vrouwen";"0 jaar";"2015";" 0.00266";"  100000";"     266";"   83.13"
"Vrouwen";"0 jaar";"2011 tot 2016";" 0.00288";"  100000";"     288";"   83.03"
"Vrouwen";"0 jaar";"2016";" 0.00291";"  100000";"     291";"   83.13"
"Vrouwen";"0 jaar";"2017";" 0.00280";"  100000";"     280";"   83.32"
"Vrouwen";"0 jaar";"2018";" 0.00272";"  100000";"     272";"   83.33"
"Vrouwen";"0 jaar";"2019";" 0.00287";"  100000";"     287";"   83.56"
"Vrouwen";"21 jaar";"1861 tot 1866";" 0.00709";"   61099";"     433";"   40.00"
"Vrouwen";"21 jaar";"1866 tot 1871";" 0.00697";"   61910";"     432";"   39.71"
"Vrouwen";"21 jaar";"1871 tot 1876";" 0.00755";"   61703";"     466";"   40.29"
"Vrouwen";"21 jaar";"1876 tot 1881";" 0.00592";"   66337";"     393";"   41.99"
"Vrouwen";"21 jaar";"1881 tot 1886";" 0.00553";"   67934";"     376";"   42.82"
"Vrouwen";"21 jaar";"1886 tot 1891";" 0.00524";"   69395";"     364";"   43.59"
"Vrouwen";"21 jaar";"1891 tot 1896";" 0.00499";"   71684";"     358";"   43.76"
"Vrouwen";"21 jaar";"1896 tot 1901";" 0.00442";"   75293";"     333";"   45.53"
"Vrouwen";"21 jaar";"1901 tot 1906";" 0.00424";"   76870";"     326";"   46.51"
"Vrouwen";"21 jaar";"1906 tot 1911";" 0.00368";"   80499";"     296";"   47.02"
"Vrouwen";"21 jaar";"1911 tot 1916";" 0.00312";"   82990";"     259";"   48.05"
"Vrouwen";"21 jaar";"1916 tot 1921";" 0.00462";"   81832";"     378";"   46.11"
"Vrouwen";"21 jaar";"1921 tot 1926";" 0.00276";"   88834";"     245";"   49.10"
"Vrouwen";"21 jaar";"1926 tot 1931";" 0.00243";"   90629";"     220";"   49.64"
"Vrouwen";"21 jaar";"1931 tot 1936";" 0.00184";"   92960";"     171";"   50.67"
"Vrouwen";"21 jaar";"1936 tot 1941";" 0.00147";"   94136";"     139";"   51.33"
"Vrouwen";"21 jaar";"1941 tot 1946";" 0.00248";"   91205";"     227";"   50.44"
"Vrouwen";"21 jaar";"1950";" 0.00072";"   96442";"      69";"   54.65"
"Vrouwen";"21 jaar";"1946 tot 1951";" 0.00097";"   95465";"      93";"   53.99"
"Vrouwen";"21 jaar";"1951";" 0.00067";"   96388";"      65";"   54.86"
"Vrouwen";"21 jaar";"1952";" 0.00061";"   96699";"      59";"   55.19"
"Vrouwen";"21 jaar";"1953";" 0.00071";"   96599";"      68";"   54.92"
"Vrouwen";"21 jaar";"1954";" 0.00033";"   96984";"      32";"   55.53"
"Vrouwen";"21 jaar";"1955";" 0.00047";"   97123";"      45";"   55.69"
"Vrouwen";"21 jaar";"1951 tot 1956";" 0.00056";"   96759";"      54";"   55.24"
"Vrouwen";"21 jaar";"1956";" 0.00036";"   97277";"      35";"   55.58"
"Vrouwen";"21 jaar";"1957";" 0.00046";"   97348";"      45";"   56.02"
"Vrouwen";"21 jaar";"1958";" 0.00049";"   97410";"      48";"   56.24"
"Vrouwen";"21 jaar";"1959";" 0.00038";"   97454";"      37";"   56.54"
"Vrouwen";"21 jaar";"1960";" 0.00038";"   97572";"      37";"   56.59"
"Vrouwen";"21 jaar";"1956 tot 1961";" 0.00041";"   97416";"      40";"   56.20"
"Vrouwen";"21 jaar";"1961";" 0.00034";"   97744";"      34";"   56.91"
"Vrouwen";"21 jaar";"1962";" 0.00028";"   97665";"      27";"   56.78"
"Vrouwen";"21 jaar";"1963";" 0.00037";"   97823";"      37";"   56.88"
"Vrouwen";"21 jaar";"1964";" 0.00032";"   97886";"      32";"   57.34"
"Vrouwen";"21 jaar";"1965";" 0.00046";"   97924";"      45";"   57.18"
"Vrouwen";"21 jaar";"1961 tot 1966";" 0.00036";"   97808";"      35";"   57.02"
"Vrouwen";"21 jaar";"1966";" 0.00047";"   97926";"      46";"   57.15"
"Vrouwen";"21 jaar";"1967";" 0.00033";"   98005";"      32";"   57.55"
"Vrouwen";"21 jaar";"1968";" 0.00035";"   98011";"      34";"   57.40"
"Vrouwen";"21 jaar";"1969";" 0.00041";"   98012";"      40";"   57.25"
"Vrouwen";"21 jaar";"1970";" 0.00052";"   98092";"      51";"   57.40"
"Vrouwen";"21 jaar";"1966 tot 1971";" 0.00041";"   98011";"      40";"   57.35"
"Vrouwen";"21 jaar";"1971";" 0.00036";"   98206";"      35";"   57.60"
"Vrouwen";"21 jaar";"1972";" 0.00050";"   98226";"      49";"   57.59"
"Vrouwen";"21 jaar";"1973";" 0.00042";"   98201";"      42";"   57.95"
"Vrouwen";"21 jaar";"1974";" 0.00028";"   98316";"      28";"   58.37"
"Vrouwen";"21 jaar";"1975";" 0.00036";"   98422";"      35";"   58.38"
"Vrouwen";"21 jaar";"1971 tot 1976";" 0.00038";"   98272";"      38";"   57.99"
"Vrouwen";"21 jaar";"1976";" 0.00035";"   98364";"      35";"   58.64"
"Vrouwen";"21 jaar";"1977";" 0.00044";"   98595";"      43";"   59.08"
"Vrouwen";"21 jaar";"1978";" 0.00047";"   98524";"      46";"   59.10"
"Vrouwen";"21 jaar";"1979";" 0.00037";"   98678";"      37";"   59.43"
"Vrouwen";"21 jaar";"1980";" 0.00041";"   98681";"      41";"   59.68"
"Vrouwen";"21 jaar";"1976 tot 1981";" 0.00041";"   98566";"      40";"   59.19"
"Vrouwen";"21 jaar";"1981";" 0.00033";"   98735";"      33";"   59.78"
"Vrouwen";"21 jaar";"1982";" 0.00030";"   98719";"      29";"   59.88"
"Vrouwen";"21 jaar";"1983";" 0.00034";"   98726";"      33";"   60.03"
"Vrouwen";"21 jaar";"1984";" 0.00026";"   98837";"      25";"   60.06"
"Vrouwen";"21 jaar";"1985";" 0.00026";"   98863";"      26";"   60.03"
"Vrouwen";"21 jaar";"1981 tot 1986";" 0.00030";"   98775";"      29";"   59.96"
"Vrouwen";"21 jaar";"1986";" 0.00032";"   98839";"      32";"   60.00"
"Vrouwen";"21 jaar";"1987";" 0.00032";"   98889";"      32";"   60.41"
"Vrouwen";"21 jaar";"1988";" 0.00026";"   99037";"      25";"   60.48"
"Vrouwen";"21 jaar";"1989";" 0.00028";"   98943";"      28";"   60.23"
"Vrouwen";"21 jaar";"1990";" 0.00030";"   98926";"      30";"   60.43"
"Vrouwen";"21 jaar";"1986 tot 1991";" 0.00030";"   98926";"      29";"   60.31"
"Vrouwen";"21 jaar";"1991";" 0.00031";"   99012";"      31";"   60.39"
"Vrouwen";"21 jaar";"1992";" 0.00019";"   99019";"      19";"   60.53"
"Vrouwen";"21 jaar";"1993";" 0.00026";"   99071";"      26";"   60.20"
"Vrouwen";"21 jaar";"1994";" 0.00023";"   99121";"      23";"   60.48"
"Vrouwen";"21 jaar";"1995";" 0.00028";"   99153";"      28";"   60.50"
"Vrouwen";"21 jaar";"1991 tot 1996";" 0.00026";"   99076";"      26";"   60.42"
"Vrouwen";"21 jaar";"1996";" 0.00035";"   99119";"      35";"   60.52"
"Vrouwen";"21 jaar";"1997";" 0.00032";"   99200";"      32";"   60.66"
"Vrouwen";"21 jaar";"1998";" 0.00024";"   99257";"      24";"   60.76"
"Vrouwen";"21 jaar";"1999";" 0.00028";"   99164";"      28";"   60.59"
"Vrouwen";"21 jaar";"2000";" 0.00030";"   99175";"      30";"   60.71"
"Vrouwen";"21 jaar";"1996 tot 2001";" 0.00030";"   99183";"      30";"   60.65"
"Vrouwen";"21 jaar";"2001";" 0.00020";"   99205";"      20";"   60.82"
"Vrouwen";"21 jaar";"2002";" 0.00016";"   99220";"      16";"   60.78"
"Vrouwen";"21 jaar";"2003";" 0.00019";"   99264";"      19";"   60.99"
"Vrouwen";"21 jaar";"2004";" 0.00023";"   99352";"      23";"   61.44"
"Vrouwen";"21 jaar";"2005";" 0.00027";"   99262";"      26";"   61.68"
"Vrouwen";"21 jaar";"2001 tot 2006";" 0.00021";"   99261";"      21";"   61.14"
"Vrouwen";"21 jaar";"2006";" 0.00024";"   99354";"      24";"   61.90"
"Vrouwen";"21 jaar";"2007";" 0.00024";"   99389";"      23";"   62.28"
"Vrouwen";"21 jaar";"2008";" 0.00015";"   99394";"      15";"   62.26"
"Vrouwen";"21 jaar";"2009";" 0.00015";"   99401";"      15";"   62.62"
"Vrouwen";"21 jaar";"2010";" 0.00009";"   99439";"       9";"   62.67"
"Vrouwen";"21 jaar";"2006 tot 2011";" 0.00017";"   99395";"      17";"   62.35"
"Vrouwen";"21 jaar";"2011";" 0.00016";"   99490";"      16";"   62.75"
"Vrouwen";"21 jaar";"2012";" 0.00023";"   99452";"      23";"   62.76"
"Vrouwen";"21 jaar";"2013";" 0.00020";"   99448";"      20";"   62.97"
"Vrouwen";"21 jaar";"2014";" 0.00016";"   99446";"      15";"   63.22"
"Vrouwen";"21 jaar";"2015";" 0.00017";"   99511";"      17";"   63.01"
"Vrouwen";"21 jaar";"2011 tot 2016";" 0.00019";"   99469";"      18";"   62.94"
"Vrouwen";"21 jaar";"2016";" 0.00014";"   99470";"      14";"   63.04"
"Vrouwen";"21 jaar";"2017";" 0.00015";"   99488";"      15";"   63.23"
"Vrouwen";"21 jaar";"2018";" 0.00020";"   99503";"      20";"   63.23"
"Vrouwen";"21 jaar";"2019";" 0.00013";"   99471";"      13";"   63.48"
"Vrouwen";"61 jaar";"1861 tot 1866";" 0.02877";"   35012";"    1007";"   13.56"
"Vrouwen";"61 jaar";"1866 tot 1871";" 0.03012";"   35127";"    1058";"   13.41"
"Vrouwen";"61 jaar";"1871 tot 1876";" 0.02695";"   36026";"     971";"   13.70"
"Vrouwen";"61 jaar";"1876 tot 1881";" 0.02528";"   41377";"    1046";"   14.06"
"Vrouwen";"61 jaar";"1881 tot 1886";" 0.02428";"   43401";"    1054";"   14.44"
"Vrouwen";"61 jaar";"1886 tot 1891";" 0.02392";"   45512";"    1089";"   14.55"
"Vrouwen";"61 jaar";"1891 tot 1896";" 0.02497";"   47521";"    1186";"   14.28"
"Vrouwen";"61 jaar";"1896 tot 1901";" 0.02165";"   52474";"    1136";"   15.07"
"Vrouwen";"61 jaar";"1901 tot 1906";" 0.02216";"   55321";"    1226";"   15.32"
"Vrouwen";"61 jaar";"1906 tot 1911";" 0.02169";"   58948";"    1278";"   15.30"
"Vrouwen";"61 jaar";"1911 tot 1916";" 0.01965";"   62313";"    1225";"   15.77"
"Vrouwen";"61 jaar";"1916 tot 1921";" 0.02056";"   58410";"    1201";"   15.32"
"Vrouwen";"61 jaar";"1921 tot 1926";" 0.01852";"   68742";"    1273";"   16.02"
"Vrouwen";"61 jaar";"1926 tot 1931";" 0.01786";"   71312";"    1274";"   16.04"
"Vrouwen";"61 jaar";"1931 tot 1936";" 0.01745";"   75110";"    1311";"   16.35"
"Vrouwen";"61 jaar";"1936 tot 1941";" 0.01740";"   77576";"    1350";"   16.43"
"Vrouwen";"61 jaar";"1941 tot 1946";" 0.01709";"   73787";"    1261";"   16.21"
"Vrouwen";"61 jaar";"1950";" 0.01111";"   85325";"     948";"   18.03"
"Vrouwen";"61 jaar";"1946 tot 1951";" 0.01261";"   83014";"    1047";"   17.89"
"Vrouwen";"61 jaar";"1951";" 0.01150";"   85484";"     983";"   18.18"
"Vrouwen";"61 jaar";"1952";" 0.01134";"   86081";"     976";"   18.43"
"Vrouwen";"61 jaar";"1953";" 0.01155";"   85448";"     987";"   18.31"
"Vrouwen";"61 jaar";"1954";" 0.01016";"   86855";"     883";"   18.59"
"Vrouwen";"61 jaar";"1955";" 0.01103";"   87328";"     963";"   18.66"
"Vrouwen";"61 jaar";"1951 tot 1956";" 0.01110";"   86241";"     957";"   18.44"
"Vrouwen";"61 jaar";"1956";" 0.01051";"   87798";"     923";"   18.42"
"Vrouwen";"61 jaar";"1957";" 0.01041";"   87935";"     915";"   18.90"
"Vrouwen";"61 jaar";"1958";" 0.00998";"   88255";"     881";"   19.04"
"Vrouwen";"61 jaar";"1959";" 0.00920";"   88533";"     814";"   19.28"
"Vrouwen";"61 jaar";"1960";" 0.00981";"   88612";"     869";"   19.32"
"Vrouwen";"61 jaar";"1956 tot 1961";" 0.00997";"   88234";"     880";"   19.00"
"Vrouwen";"61 jaar";"1961";" 0.00928";"   89130";"     827";"   19.56"
"Vrouwen";"61 jaar";"1962";" 0.00866";"   89121";"     771";"   19.42"
"Vrouwen";"61 jaar";"1963";" 0.00887";"   89359";"     793";"   19.47"
"Vrouwen";"61 jaar";"1964";" 0.00842";"   89377";"     753";"   19.98"
"Vrouwen";"61 jaar";"1965";" 0.00824";"   89477";"     737";"   19.80"
"Vrouwen";"61 jaar";"1961 tot 1966";" 0.00868";"   89293";"     775";"   19.65"
"Vrouwen";"61 jaar";"1966";" 0.00810";"   89219";"     723";"   19.85"
"Vrouwen";"61 jaar";"1967";" 0.00899";"   89582";"     806";"   20.20"
"Vrouwen";"61 jaar";"1968";" 0.00836";"   89525";"     748";"   20.06"
"Vrouwen";"61 jaar";"1969";" 0.00868";"   89239";"     775";"   19.99"
"Vrouwen";"61 jaar";"1970";" 0.00831";"   89428";"     744";"   20.12"
"Vrouwen";"61 jaar";"1966 tot 1971";" 0.00849";"   89400";"     759";"   20.05"
"Vrouwen";"61 jaar";"1971";" 0.00860";"   89794";"     773";"   20.23"
"Vrouwen";"61 jaar";"1972";" 0.00848";"   89791";"     761";"   20.24"
"Vrouwen";"61 jaar";"1973";" 0.00798";"   89662";"     716";"   20.69"
"Vrouwen";"61 jaar";"1974";" 0.00783";"   90300";"     707";"   20.93"
"Vrouwen";"61 jaar";"1975";" 0.00790";"   90499";"     715";"   20.91"
"Vrouwen";"61 jaar";"1971 tot 1976";" 0.00815";"   90009";"     734";"   20.61"
"Vrouwen";"61 jaar";"1976";" 0.00726";"   90588";"     657";"   21.15"
"Vrouwen";"61 jaar";"1977";" 0.00805";"   90706";"     730";"   21.67"
"Vrouwen";"61 jaar";"1978";" 0.00720";"   90794";"     654";"   21.64"
"Vrouwen";"61 jaar";"1979";" 0.00758";"   90968";"     689";"   21.95"
"Vrouwen";"61 jaar";"1980";" 0.00743";"   91410";"     679";"   22.08"
"Vrouwen";"61 jaar";"1976 tot 1981";" 0.00750";"   90895";"     682";"   21.71"
"Vrouwen";"61 jaar";"1981";" 0.00684";"   91438";"     626";"   22.19"
"Vrouwen";"61 jaar";"1982";" 0.00695";"   91457";"     636";"   22.28"
"Vrouwen";"61 jaar";"1983";" 0.00743";"   91474";"     680";"   22.45"
"Vrouwen";"61 jaar";"1984";" 0.00735";"   91726";"     674";"   22.41"
"Vrouwen";"61 jaar";"1985";" 0.00767";"   91697";"     703";"   22.39"
"Vrouwen";"61 jaar";"1981 tot 1986";" 0.00725";"   91558";"     663";"   22.34"
"Vrouwen";"61 jaar";"1986";" 0.00737";"   91517";"     675";"   22.42"
"Vrouwen";"61 jaar";"1987";" 0.00742";"   91848";"     682";"   22.77"
"Vrouwen";"61 jaar";"1988";" 0.00688";"   92205";"     634";"   22.76"
"Vrouwen";"61 jaar";"1989";" 0.00704";"   91787";"     646";"   22.60"
"Vrouwen";"61 jaar";"1990";" 0.00720";"   92081";"     663";"   22.71"
"Vrouwen";"61 jaar";"1986 tot 1991";" 0.00719";"   91885";"     660";"   22.65"
"Vrouwen";"61 jaar";"1991";" 0.00727";"   92105";"     670";"   22.70"
"Vrouwen";"61 jaar";"1992";" 0.00739";"   92137";"     681";"   22.84"
"Vrouwen";"61 jaar";"1993";" 0.00695";"   92102";"     640";"   22.53"
"Vrouwen";"61 jaar";"1994";" 0.00672";"   92183";"     619";"   22.80"
"Vrouwen";"61 jaar";"1995";" 0.00666";"   92285";"     615";"   22.81"
"Vrouwen";"61 jaar";"1991 tot 1996";" 0.00700";"   92162";"     645";"   22.73"
"Vrouwen";"61 jaar";"1996";" 0.00668";"   92280";"     617";"   22.82"
"Vrouwen";"61 jaar";"1997";" 0.00706";"   92374";"     652";"   22.96"
"Vrouwen";"61 jaar";"1998";" 0.00641";"   92548";"     593";"   23.00"
"Vrouwen";"61 jaar";"1999";" 0.00680";"   92297";"     628";"   22.90"
"Vrouwen";"61 jaar";"2000";" 0.00662";"   92357";"     611";"   23.00"
"Vrouwen";"61 jaar";"1996 tot 2001";" 0.00671";"   92369";"     620";"   22.94"
"Vrouwen";"61 jaar";"2001";" 0.00618";"   92423";"     571";"   23.09"
"Vrouwen";"61 jaar";"2002";" 0.00666";"   92401";"     616";"   23.07"
"Vrouwen";"61 jaar";"2003";" 0.00625";"   92478";"     578";"   23.27"
"Vrouwen";"61 jaar";"2004";" 0.00625";"   92860";"     580";"   23.64"
"Vrouwen";"61 jaar";"2005";" 0.00603";"   92962";"     560";"   23.83"
"Vrouwen";"61 jaar";"2001 tot 2006";" 0.00626";"   92632";"     580";"   23.38"
"Vrouwen";"61 jaar";"2006";" 0.00628";"   93286";"     586";"   23.96"
"Vrouwen";"61 jaar";"2007";" 0.00612";"   93518";"     572";"   24.29"
"Vrouwen";"61 jaar";"2008";" 0.00607";"   93475";"     567";"   24.27"
"Vrouwen";"61 jaar";"2009";" 0.00563";"   93654";"     527";"   24.60"
"Vrouwen";"61 jaar";"2010";" 0.00586";"   93782";"     550";"   24.60"
"Vrouwen";"61 jaar";"2006 tot 2011";" 0.00598";"   93544";"     560";"   24.35"
"Vrouwen";"61 jaar";"2011";" 0.00562";"   93772";"     527";"   24.72"
"Vrouwen";"61 jaar";"2012";" 0.00598";"   93904";"     561";"   24.65"
"Vrouwen";"61 jaar";"2013";" 0.00544";"   94170";"     512";"   24.79"
"Vrouwen";"61 jaar";"2014";" 0.00578";"   94273";"     545";"   25.02"
"Vrouwen";"61 jaar";"2015";" 0.00581";"   94418";"     548";"   24.75"
"Vrouwen";"61 jaar";"2011 tot 2016";" 0.00573";"   94108";"     539";"   24.79"
"Vrouwen";"61 jaar";"2016";" 0.00533";"   94238";"     503";"   24.85"
"Vrouwen";"61 jaar";"2017";" 0.00547";"   94623";"     518";"   24.90"
"Vrouwen";"61 jaar";"2018";" 0.00550";"   94675";"     520";"   24.89"
"Vrouwen";"61 jaar";"2019";" 0.00516";"   94840";"     490";"   25.11"
"Vrouwen";"81 jaar";"1861 tot 1866";" 0.14649";"    7603";"    1114";"    4.68"
"Vrouwen";"81 jaar";"1866 tot 1871";" 0.15310";"    7384";"    1131";"    4.57"
"Vrouwen";"81 jaar";"1871 tot 1876";" 0.14848";"    7958";"    1182";"    4.59"
"Vrouwen";"81 jaar";"1876 tot 1881";" 0.14684";"    9714";"    1426";"    4.74"
"Vrouwen";"81 jaar";"1881 tot 1886";" 0.13608";"   11182";"    1522";"    4.81"
"Vrouwen";"81 jaar";"1886 tot 1891";" 0.14166";"   12006";"    1701";"    4.76"
"Vrouwen";"81 jaar";"1891 tot 1896";" 0.14212";"   11813";"    1679";"    4.70"
"Vrouwen";"81 jaar";"1896 tot 1901";" 0.12786";"   14977";"    1915";"    5.11"
"Vrouwen";"81 jaar";"1901 tot 1906";" 0.13160";"   16521";"    2174";"    5.17"
"Vrouwen";"81 jaar";"1906 tot 1911";" 0.13288";"   17408";"    2313";"    5.05"
"Vrouwen";"81 jaar";"1911 tot 1916";" 0.12468";"   19896";"    2481";"    5.30"
"Vrouwen";"81 jaar";"1916 tot 1921";" 0.13142";"   17354";"    2281";"    4.99"
"Vrouwen";"81 jaar";"1921 tot 1926";" 0.12364";"   22684";"    2805";"    5.36"
"Vrouwen";"81 jaar";"1926 tot 1931";" 0.12296";"   23617";"    2904";"    5.27"
"Vrouwen";"81 jaar";"1931 tot 1936";" 0.12191";"   25989";"    3168";"    5.38"
"Vrouwen";"81 jaar";"1936 tot 1941";" 0.12254";"   27097";"    3321";"    5.32"
"Vrouwen";"81 jaar";"1941 tot 1946";" 0.13177";"   25033";"    3299";"    4.89"
"Vrouwen";"81 jaar";"1950";" 0.10164";"   36481";"    3708";"    5.82"
"Vrouwen";"81 jaar";"1946 tot 1951";" 0.10329";"   34776";"    3592";"    5.95"
"Vrouwen";"81 jaar";"1951";" 0.10469";"   36905";"    3864";"    5.84"
"Vrouwen";"81 jaar";"1952";" 0.10540";"   38264";"    4033";"    5.99"
"Vrouwen";"81 jaar";"1953";" 0.10490";"   37543";"    3938";"    5.93"
"Vrouwen";"81 jaar";"1954";" 0.10360";"   39383";"    4080";"    6.05"
"Vrouwen";"81 jaar";"1955";" 0.10506";"   40152";"    4218";"    5.95"
"Vrouwen";"81 jaar";"1951 tot 1956";" 0.10471";"   38472";"    4028";"    5.95"
"Vrouwen";"81 jaar";"1956";" 0.10232";"   39371";"    4028";"    5.72"
"Vrouwen";"81 jaar";"1957";" 0.09451";"   41138";"    3888";"    6.11"
"Vrouwen";"81 jaar";"1958";" 0.09604";"   42028";"    4036";"    6.12"
"Vrouwen";"81 jaar";"1959";" 0.09682";"   43553";"    4217";"    6.14"
"Vrouwen";"81 jaar";"1960";" 0.09826";"   43509";"    4275";"    6.18"
"Vrouwen";"81 jaar";"1956 tot 1961";" 0.09754";"   41949";"    4092";"    6.06"
"Vrouwen";"81 jaar";"1961";" 0.09484";"   44823";"    4251";"    6.36"
"Vrouwen";"81 jaar";"1962";" 0.09611";"   44637";"    4290";"    6.14"
"Vrouwen";"81 jaar";"1963";" 0.09194";"   44981";"    4136";"    6.23"
"Vrouwen";"81 jaar";"1964";" 0.08795";"   46879";"    4123";"    6.64"
"Vrouwen";"81 jaar";"1965";" 0.08641";"   46006";"    3975";"    6.53"
"Vrouwen";"81 jaar";"1961 tot 1966";" 0.09128";"   45485";"    4152";"    6.38"
"Vrouwen";"81 jaar";"1966";" 0.08698";"   46258";"    4024";"    6.48"
"Vrouwen";"81 jaar";"1967";" 0.08423";"   47823";"    4028";"    6.78"
"Vrouwen";"81 jaar";"1968";" 0.08652";"   47521";"    4112";"    6.54"
"Vrouwen";"81 jaar";"1969";" 0.08911";"   47072";"    4195";"    6.59"
"Vrouwen";"81 jaar";"1970";" 0.08568";"   47740";"    4091";"    6.64"
"Vrouwen";"81 jaar";"1966 tot 1971";" 0.08653";"   47293";"    4092";"    6.61"
"Vrouwen";"81 jaar";"1971";" 0.08362";"   48483";"    4054";"    6.62"
"Vrouwen";"81 jaar";"1972";" 0.08683";"   48408";"    4203";"    6.59"
"Vrouwen";"81 jaar";"1973";" 0.07793";"   50324";"    3922";"    6.86"
"Vrouwen";"81 jaar";"1974";" 0.07571";"   51606";"    3907";"    7.05"
"Vrouwen";"81 jaar";"1975";" 0.07695";"   51740";"    3982";"    7.00"
"Vrouwen";"81 jaar";"1971 tot 1976";" 0.08002";"   50139";"    4012";"    6.84"
"Vrouwen";"81 jaar";"1976";" 0.07285";"   52447";"    3821";"    7.19"
"Vrouwen";"81 jaar";"1977";" 0.06620";"   54277";"    3593";"    7.64"
"Vrouwen";"81 jaar";"1978";" 0.06969";"   54446";"    3794";"    7.50"
"Vrouwen";"81 jaar";"1979";" 0.06404";"   55710";"    3568";"    7.78"
"Vrouwen";"81 jaar";"1980";" 0.06657";"   56414";"    3756";"    7.85"
"Vrouwen";"81 jaar";"1976 tot 1981";" 0.06778";"   54683";"    3706";"    7.60"
"Vrouwen";"81 jaar";"1981";" 0.06409";"   56847";"    3643";"    7.91"
"Vrouwen";"81 jaar";"1982";" 0.05979";"   57405";"    3432";"    7.88"
"Vrouwen";"81 jaar";"1983";" 0.05984";"   58329";"    3491";"    7.94"
"Vrouwen";"81 jaar";"1984";" 0.06043";"   58087";"    3510";"    7.98"
"Vrouwen";"81 jaar";"1985";" 0.06081";"   58211";"    3540";"    7.93"
"Vrouwen";"81 jaar";"1981 tot 1986";" 0.06094";"   57783";"    3521";"    7.93"
"Vrouwen";"81 jaar";"1986";" 0.06003";"   58512";"    3513";"    7.87"
"Vrouwen";"81 jaar";"1987";" 0.05740";"   59591";"    3421";"    8.21"
"Vrouwen";"81 jaar";"1988";" 0.05741";"   60012";"    3445";"    8.13"
"Vrouwen";"81 jaar";"1989";" 0.05807";"   59246";"    3440";"    8.01"
"Vrouwen";"81 jaar";"1990";" 0.05811";"   59998";"    3487";"    8.04"
"Vrouwen";"81 jaar";"1986 tot 1991";" 0.05819";"   59473";"    3461";"    8.05"
"Vrouwen";"81 jaar";"1991";" 0.05752";"   59834";"    3441";"    8.11"
"Vrouwen";"81 jaar";"1992";" 0.05790";"   60524";"    3505";"    8.16"
"Vrouwen";"81 jaar";"1993";" 0.05776";"   59746";"    3451";"    7.86"
"Vrouwen";"81 jaar";"1994";" 0.05450";"   60303";"    3287";"    8.12"
"Vrouwen";"81 jaar";"1995";" 0.05523";"   60589";"    3346";"    8.11"
"Vrouwen";"81 jaar";"1991 tot 1996";" 0.05654";"   60200";"    3404";"    8.07"
"Vrouwen";"81 jaar";"1996";" 0.05529";"   60515";"    3346";"    8.12"
"Vrouwen";"81 jaar";"1997";" 0.05585";"   61180";"    3417";"    8.18"
"Vrouwen";"81 jaar";"1998";" 0.05535";"   61659";"    3413";"    8.17"
"Vrouwen";"81 jaar";"1999";" 0.05468";"   61081";"    3340";"    8.10"
"Vrouwen";"81 jaar";"2000";" 0.05369";"   61530";"    3303";"    8.12"
"Vrouwen";"81 jaar";"1996 tot 2001";" 0.05497";"   61190";"    3364";"    8.14"
"Vrouwen";"81 jaar";"2001";" 0.05277";"   61672";"    3255";"    8.20"
"Vrouwen";"81 jaar";"2002";" 0.05598";"   61847";"    3462";"    8.15"
"Vrouwen";"81 jaar";"2003";" 0.05143";"   62580";"    3219";"    8.24"
"Vrouwen";"81 jaar";"2004";" 0.04921";"   64070";"    3153";"    8.48"
"Vrouwen";"81 jaar";"2005";" 0.04707";"   64703";"    3046";"    8.59"
"Vrouwen";"81 jaar";"2001 tot 2006";" 0.05129";"   62971";"    3230";"    8.33"
"Vrouwen";"81 jaar";"2006";" 0.04818";"   65655";"    3163";"    8.62"
"Vrouwen";"81 jaar";"2007";" 0.04512";"   66732";"    3011";"    8.89"
"Vrouwen";"81 jaar";"2008";" 0.04623";"   66939";"    3095";"    8.82"
"Vrouwen";"81 jaar";"2009";" 0.04371";"   68119";"    2977";"    9.02"
"Vrouwen";"81 jaar";"2010";" 0.04435";"   68102";"    3020";"    9.06"
"Vrouwen";"81 jaar";"2006 tot 2011";" 0.04550";"   67119";"    3054";"    8.88"
